SOURCE CODE	SPECIATION	ISOLATE	ISOLATION SOURCE	LOCATION	SPECIFIC LOCATION	VNCO	TEIC	AMPI	DOXY	ERTH	NTRO	GENT	LNZD	LVFL	QUIN	STEP	TGC		Resistance count
BP	Enterococcus faecalis	BP-C138-3	Abbatoir conveyor belt	Canada: Alberta	53.9333° N, 116.5765° W	I	ND	S	S	I	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-G109-2	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	S	S	S	S	S	R	S	S		2
BP	Enterococcus faecalis	BP-G127E-2	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	R	S	R	S	S	R	S	R	S	S		4
BP	Enterococcus faecalis	BP-G138E-2	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-G149-3	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-G42-1	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	I	S	S	S	S	R	S	S		2
BP	Enterococcus faecalis	BP-G69E-3	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	R	S	S	S	S	R	S	S		3
BP	Enterococcus faecalis	BP-G81-1	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	R	S	R	S	S	S	S	R	S	S		3
BP	Enterococcus faecalis	BP-G85-2	Abbatoir Ground beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	S	S	S	S	I	R	S	S		2
BP	Enterococcus faecalis	BP-H102-1	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-H136-3	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	I	S	S		0
BP	Enterococcus faecalis	BP-H22-1	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	R	S	R	S	S	R	R	S		5
BP	Enterococcus faecalis	BP-H4-1	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	R	S	R	S	S	R	S	R	S	S		4
BP	Enterococcus faecalis	BP-H44-3	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	I	I	R	S	S		1
BP	Enterococcus faecalis	BP-H53-2	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	I	S	S	S	S	I	S	S		1
BP	Enterococcus faecalis	BP-H74-1	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	I	R	S	S		1
BP	Enterococcus faecalis	BP-H96E-2	Carcass after Hide removal	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	R	R	R	S	S	R	S	R	S	S		5
BP	Enterococcus faecalis	BP-R19-2	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	R	S	S	R	S	R	S	S		4
BP	Enterococcus faecalis	BP-R20-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-R26E-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	R	R	R	S	S	R	S	R	S	S		5
