0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
PRJNA604849	SAMN14000316	EntR-0041	EntR-0041	EntR_0041		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	CB	S	S	S	I	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026455/SRR14026455_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026455/SRR14026455_2.fastq.gz	10678_8#11	ERP003621	ERS325719	ERR369948		Enterococcus faecium	2.0	117	United Kingdom	Human invasive infection	Hospital 34	R	R		genomes/gouliouris_2018_uk/ERR369948/ERR369948_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369948/ERR369948_2.fastq.gz
PRJNA604849	SAMN14000315	EntR-0008	EntR-0008	EntR_0008		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	I	R	S	S	S	R	I	S	S	genomes/zaheer_2020_alberta/SRR14026462/SRR14026462_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026462/SRR14026462_2.fastq.gz	10678_8#14	ERP003621	ERS325652	ERR369951		Enterococcus faecium	1.0	117	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369951/ERR369951_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369951/ERR369951_2.fastq.gz
PRJNA604849	SAMN14000314	EntR-0001	EntR-0001	EntR_0001		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	I	S	S	S	genomes/zaheer_2020_alberta/SRR14026496/SRR14026496_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026496/SRR14026496_2.fastq.gz	10678_8#17	ERP003621	ERS325617	ERR369954		Enterococcus faecium	1.0	186	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369954/ERR369954_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369954/ERR369954_2.fastq.gz
PRJNA604849	SAMN14000313	SWEnt-1198	SWEnt-1198	SWEnt_1198		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	S	S	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026441/SRR14026441_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026441/SRR14026441_2.fastq.gz	10678_8#18	ERP003621	ERS325952	ERR369955		Enterococcus faecium	5.0	22	United Kingdom	Human invasive infection	Hospital 1	S	S		genomes/gouliouris_2018_uk/ERR369955/ERR369955_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369955/ERR369955_2.fastq.gz
PRJNA604849	SAMN14000312	SWEnt-1195	SWEnt-1195	SWEnt_1195		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	R	I	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026467/SRR14026467_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026467/SRR14026467_2.fastq.gz	10678_8#19	ERP003621	ERS325629	ERR369956		Enterococcus faecium	1.0	132	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369956/ERR369956_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369956/ERR369956_2.fastq.gz
PRJNA604849	SAMN14000311	SWEnt-1194	SWEnt-1194	SWEnt_1194		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	S	S	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026460/SRR14026460_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026460/SRR14026460_2.fastq.gz	10678_8#2	ERP003621	ERS325759	ERR369939		Enterococcus faecium	1.0	18	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369939/ERR369939_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369939/ERR369939_2.fastq.gz
PRJNA604849	SAMN14000310	SWEnt-1193	SWEnt-1193	SWEnt_1193		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	S	S	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026448/SRR14026448_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026448/SRR14026448_2.fastq.gz	10678_8#20	ERP003621	ERS325725	ERR369957		Enterococcus faecium	5.0	22	United Kingdom	Human invasive infection	Hospital 1	S	S		genomes/gouliouris_2018_uk/ERR369957/ERR369957_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369957/ERR369957_2.fastq.gz
PRJNA604849	SAMN14000309	SWEnt-1192	SWEnt-1192	SWEnt_1192		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	I	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026477/SRR14026477_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026477/SRR14026477_2.fastq.gz	10678_8#21	ERP003621	ERS325621	ERR369958		Enterococcus faecium	1.0	1043	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369958/ERR369958_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369958/ERR369958_2.fastq.gz
PRJNA604849	SAMN14000308	SWEnt-1171	SWEnt-1171	SWEnt_1171		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	S	I	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026446/SRR14026446_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026446/SRR14026446_2.fastq.gz	10678_8#25	ERP003621	ERS325628	ERR369962		Enterococcus faecium	1.0	17	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369962/ERR369962_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369962/ERR369962_2.fastq.gz
PRJNA604849	SAMN14000307	SWEnt-1169	SWEnt-1169	SWEnt_1169		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	I	S	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026445/SRR14026445_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026445/SRR14026445_2.fastq.gz	10678_8#27	ERP003621	ERS325933	ERR369964		Enterococcus faecium	1.0	18	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369964/ERR369964_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369964/ERR369964_2.fastq.gz
PRJNA604849	SAMN14000306	SWEnt-1160	SWEnt-1160	SWEnt_1160		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	S	I	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026453/SRR14026453_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026453/SRR14026453_2.fastq.gz	10678_8#28	ERP003621	ERS325830	ERR369965		Enterococcus faecium	1.0	17	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369965/ERR369965_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369965/ERR369965_2.fastq.gz
PRJNA604849	SAMN14000305	SWEnt-1143	SWEnt-1143	SWEnt_1143		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	I	S	S	S	I	S	S	S	genomes/zaheer_2020_alberta/SRR14026484/SRR14026484_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026484/SRR14026484_2.fastq.gz	10678_8#29	ERP003621	ERS325950	ERR369966		Enterococcus faecium	9.0	78	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369966/ERR369966_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369966/ERR369966_2.fastq.gz
PRJNA604849	SAMN14000304	SWEntR-0365	SWEntR-0365	SWEntR_0365		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	I	I	I	S	genomes/zaheer_2020_alberta/SRR14026459/SRR14026459_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026459/SRR14026459_2.fastq.gz	10678_8#3	ERP003621	ERS325758	ERR369940		Enterococcus faecium	1.0	1481	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369940/ERR369940_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369940/ERR369940_2.fastq.gz
PRJNA604849	SAMN14000303	SWEntR-0364	SWEntR-0364	SWEntR_0364		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026452/SRR14026452_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026452/SRR14026452_2.fastq.gz	10678_8#30	ERP003621	ERS325618	ERR369967		Enterococcus faecium	1.0	202	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369967/ERR369967_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369967/ERR369967_2.fastq.gz
PRJNA604849	SAMN14000302	SWEntR-0363	SWEntR-0363	SWEntR_0363		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	I	R	S	S	genomes/zaheer_2020_alberta/SRR14026488/SRR14026488_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026488/SRR14026488_2.fastq.gz	10678_8#32	ERP003621	ERS325624	ERR369969		Enterococcus faecium	1.0	18	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369969/ERR369969_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369969/ERR369969_2.fastq.gz
PRJNA604849	SAMN14000301	SWEntR-0358	SWEntR-0358	SWEntR_0358		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026476/SRR14026476_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026476/SRR14026476_2.fastq.gz	10678_8#34	ERP003621	ERS325686	ERR369971		Enterococcus faecium	2.0	117	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369971/ERR369971_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369971/ERR369971_2.fastq.gz
PRJNA604849	SAMN14000300	SWEntR-0335	SWEntR-0335	SWEntR_0335		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	I	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026486/SRR14026486_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026486/SRR14026486_2.fastq.gz	10678_8#35	ERP003621	ERS325717	ERR369972		Enterococcus faecium	9.0	412	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369972/ERR369972_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369972/ERR369972_2.fastq.gz
PRJNA604849	SAMN14000299	SWEntR-0269	SWEntR-0269	SWEntR_0269		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	I	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026471/SRR14026471_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026471/SRR14026471_2.fastq.gz	10678_8#37	ERP003621	ERS325828	ERR369974		Enterococcus faecium	9.0	203	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369974/ERR369974_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369974/ERR369974_2.fastq.gz
PRJNA604849	SAMN14000298	SWEntR-0266	SWEntR-0266	SWEntR_0266		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	S	R	I	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026482/SRR14026482_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026482/SRR14026482_2.fastq.gz	10678_8#39	ERP003621	ERS325913	ERR369976		Enterococcus faecium	1.0	64	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369976/ERR369976_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369976/ERR369976_2.fastq.gz
PRJNA604849	SAMN14000297	SWEntR-0256	SWEntR-0256	SWEntR_0256		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	S	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026473/SRR14026473_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026473/SRR14026473_2.fastq.gz	10678_8#4	ERP003621	ERS325754	ERR369941		Enterococcus faecium	1.0	18	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369941/ERR369941_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369941/ERR369941_2.fastq.gz
PRJNA604849	SAMN14000296	SWEntR-0253	SWEntR-0253	SWEntR_0253		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026444/SRR14026444_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026444/SRR14026444_2.fastq.gz	10678_8#41	ERP003621	ERS325927	ERR369978		Enterococcus faecium	1.0	18	United Kingdom	Human invasive infection	Hospital 1	R	S		genomes/gouliouris_2018_uk/ERR369978/ERR369978_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369978/ERR369978_2.fastq.gz
PRJNA604849	SAMN14000295	SWEntR-0229	SWEntR-0229	SWEntR_0229		Enterococcus faecium	Canada/Alberta	Feedlot A	51.4962° N, 113.5103° W	NWS	S	S	S	R	R	S	S	S	I	I	S	S	genomes/zaheer_2020_alberta/SRR14026503/SRR14026503_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026503/SRR14026503_2.fastq.gz	10678_8#43	ERP003621	ERS325936	ERR369980		Enterococcus faecium	1.0	17	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369980/ERR369980_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369980/ERR369980_2.fastq.gz
PRJNA604849	SAMN14000294	SWEntR-0113	SWEntR-0113	SWENTR-0113		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	R	S	S	R	R	S	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026478/SRR14026478_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026478/SRR14026478_2.fastq.gz	10678_8#44	ERP003621	ERS325801	ERR369981		Enterococcus faecium	9.0	78	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369981/ERR369981_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369981/ERR369981_2.fastq.gz
PRJNA604849	SAMN14000293	SWEntR-0124	SWEntR-0124	SWEntR_0124		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	R	R	S	S	S	S	I	S	S	genomes/zaheer_2020_alberta/SRR14026451/SRR14026451_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026451/SRR14026451_2.fastq.gz	10678_8#45	ERP003621	ERS325622	ERR369982		Enterococcus faecium	1.0	202	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369982/ERR369982_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369982/ERR369982_2.fastq.gz
PRJNA604849	SAMN14000292	SWEntR-0262	SWEntR-0262	SWEntR_0262		Enterococcus faecium	Canada/Alberta	Feedlot C	50.3494° N, 113.7750° W	NWS	S	S	S	R	R	I	S	S	S	S	S	S	genomes/zaheer_2020_alberta/SRR14026500/SRR14026500_1.fastq.gz	genomes/zaheer_2020_alberta/SRR14026500/SRR14026500_2.fastq.gz	10678_8#46	ERP003621	ERS325689	ERR369983		Enterococcus faecium	1.0	17	United Kingdom	Human invasive infection	Hospital 1	R	R		genomes/gouliouris_2018_uk/ERR369983/ERR369983_1.fastq.gz	genomes/gouliouris_2018_uk/ERR369983/ERR369983_2.fastq.gz
