Sample_name	Species	Read_1	Read_2
BP-G109-2	E_faecalis	E_faecalis_368/all_reads/BP-G109-2_1.fastq.gz	E_faecalis_368/all_reads/BP-G109-2_2.fastq.gz
BP-G127E-2	E_faecalis	E_faecalis_368/all_reads/BP-G127E-2_1.fastq.gz	E_faecalis_368/all_reads/BP-G127E-2_2.fastq.gz
BP-G138E-2	E_faecalis	E_faecalis_368/all_reads/BP-G138E-2_1.fastq.gz	E_faecalis_368/all_reads/BP-G138E-2_2.fastq.gz
BP-G149-3	E_faecalis	E_faecalis_368/all_reads/BP-G149-3_1.fastq.gz	E_faecalis_368/all_reads/BP-G149-3_2.fastq.gz
BP-G42-1	E_faecalis	E_faecalis_368/all_reads/BP-G42-1_1.fastq.gz	E_faecalis_368/all_reads/BP-G42-1_2.fastq.gz
BP-G69E-3	E_faecalis	E_faecalis_368/all_reads/BP-G69E-3_1.fastq.gz	E_faecalis_368/all_reads/BP-G69E-3_2.fastq.gz
BP-G81-1	E_faecalis	E_faecalis_368/all_reads/BP-G81-1_1.fastq.gz	E_faecalis_368/all_reads/BP-G81-1_2.fastq.gz
BP-G85-2	E_faecalis	E_faecalis_368/all_reads/BP-G85-2_1.fastq.gz	E_faecalis_368/all_reads/BP-G85-2_2.fastq.gz
BP-H102-1	E_faecalis	E_faecalis_368/all_reads/BP-H102-1_1.fastq.gz	E_faecalis_368/all_reads/BP-H102-1_2.fastq.gz
BP-H136-3	E_faecalis	E_faecalis_368/all_reads/BP-H136-3_1.fastq.gz	E_faecalis_368/all_reads/BP-H136-3_2.fastq.gz
BP-H22-1	E_faecalis	E_faecalis_368/all_reads/BP-H22-1_1.fastq.gz	E_faecalis_368/all_reads/BP-H22-1_2.fastq.gz
BP-H4-1	E_faecalis	E_faecalis_368/all_reads/BP-H4-1_1.fastq.gz	E_faecalis_368/all_reads/BP-H4-1_2.fastq.gz
BP-H44-3	E_faecalis	E_faecalis_368/all_reads/BP-H44-3_1.fastq.gz	E_faecalis_368/all_reads/BP-H44-3_2.fastq.gz
BP-H74-1	E_faecalis	E_faecalis_368/all_reads/BP-H74-1_1.fastq.gz	E_faecalis_368/all_reads/BP-H74-1_2.fastq.gz
BP-H96E-2	E_faecalis	E_faecalis_368/all_reads/BP-H96E-2_1.fastq.gz	E_faecalis_368/all_reads/BP-H96E-2_2.fastq.gz
BP-R19-2	E_faecalis	E_faecalis_368/all_reads/BP-R19-2_1.fastq.gz	E_faecalis_368/all_reads/BP-R19-2_2.fastq.gz
BP-R20-1	E_faecalis	E_faecalis_368/all_reads/BP-R20-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R20-1_2.fastq.gz
BP-R26E-1	E_faecalis	E_faecalis_368/all_reads/BP-R26E-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R26E-1_2.fastq.gz
BP-R29-2	E_faecalis	E_faecalis_368/all_reads/BP-R29-2_1.fastq.gz	E_faecalis_368/all_reads/BP-R29-2_2.fastq.gz
BP-R30-1	E_faecalis	E_faecalis_368/all_reads/BP-R30-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R30-1_2.fastq.gz
BP-R37-3	E_faecalis	E_faecalis_368/all_reads/BP-R37-3_1.fastq.gz	E_faecalis_368/all_reads/BP-R37-3_2.fastq.gz
BP-R43E-1	E_faecalis	E_faecalis_368/all_reads/BP-R43E-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R43E-1_2.fastq.gz
BP-R49-3	E_faecalis	E_faecalis_368/all_reads/BP-R49-3_1.fastq.gz	E_faecalis_368/all_reads/BP-R49-3_2.fastq.gz
BP-R50-2	E_faecalis	E_faecalis_368/all_reads/BP-R50-2_1.fastq.gz	E_faecalis_368/all_reads/BP-R50-2_2.fastq.gz
BP-R51-2	E_faecalis	E_faecalis_368/all_reads/BP-R51-2_1.fastq.gz	E_faecalis_368/all_reads/BP-R51-2_2.fastq.gz
BP-R52-1	E_faecalis	E_faecalis_368/all_reads/BP-R52-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R52-1_2.fastq.gz
BP-R53-2	E_faecalis	E_faecalis_368/all_reads/BP-R53-2_1.fastq.gz	E_faecalis_368/all_reads/BP-R53-2_2.fastq.gz
BP-R5E-3	E_faecalis	E_faecalis_368/all_reads/BP-R5E-3_1.fastq.gz	E_faecalis_368/all_reads/BP-R5E-3_2.fastq.gz
BP-R7-1	E_faecalis	E_faecalis_368/all_reads/BP-R7-1_1.fastq.gz	E_faecalis_368/all_reads/BP-R7-1_2.fastq.gz
BP-W141-1	E_faecalis	E_faecalis_368/all_reads/BP-W141-1_1.fastq.gz	E_faecalis_368/all_reads/BP-W141-1_2.fastq.gz
BP-W19-2	E_faecalis	E_faecalis_368/all_reads/BP-W19-2_1.fastq.gz	E_faecalis_368/all_reads/BP-W19-2_2.fastq.gz
BP-W84-1	E_faecalis	E_faecalis_368/all_reads/BP-W84-1_1.fastq.gz	E_faecalis_368/all_reads/BP-W84-1_2.fastq.gz
Ent_0002	E_faecalis	E_faecalis_368/all_reads/Ent_0002_1.fastq.gz	E_faecalis_368/all_reads/Ent_0002_2.fastq.gz
Ent_0025	E_faecalis	E_faecalis_368/all_reads/Ent_0025_1.fastq.gz	E_faecalis_368/all_reads/Ent_0025_2.fastq.gz
Ent_0182	E_faecalis	E_faecalis_368/all_reads/Ent_0182_1.fastq.gz	E_faecalis_368/all_reads/Ent_0182_2.fastq.gz
Ent_0202	E_faecalis	E_faecalis_368/all_reads/Ent_0202_1.fastq.gz	E_faecalis_368/all_reads/Ent_0202_2.fastq.gz
Ent_0238	E_faecalis	E_faecalis_368/all_reads/Ent_0238_1.fastq.gz	E_faecalis_368/all_reads/Ent_0238_2.fastq.gz
Ent_0261	E_faecalis	E_faecalis_368/all_reads/Ent_0261_1.fastq.gz	E_faecalis_368/all_reads/Ent_0261_2.fastq.gz
Ent_0269	E_faecalis	E_faecalis_368/all_reads/Ent_0269_1.fastq.gz	E_faecalis_368/all_reads/Ent_0269_2.fastq.gz
Ent_0270	E_faecalis	E_faecalis_368/all_reads/Ent_0270_1.fastq.gz	E_faecalis_368/all_reads/Ent_0270_2.fastq.gz
Ent_0276	E_faecalis	E_faecalis_368/all_reads/Ent_0276_1.fastq.gz	E_faecalis_368/all_reads/Ent_0276_2.fastq.gz
Ent_0277	E_faecalis	E_faecalis_368/all_reads/Ent_0277_1.fastq.gz	E_faecalis_368/all_reads/Ent_0277_2.fastq.gz
EntR_0146	E_faecalis	E_faecalis_368/all_reads/EntR_0146_1.fastq.gz	E_faecalis_368/all_reads/EntR_0146_2.fastq.gz
EntR_0171	E_faecalis	E_faecalis_368/all_reads/EntR_0171_1.fastq.gz	E_faecalis_368/all_reads/EntR_0171_2.fastq.gz
EntR_0190	E_faecalis	E_faecalis_368/all_reads/EntR_0190_1.fastq.gz	E_faecalis_368/all_reads/EntR_0190_2.fastq.gz
