Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14026508,2021-03-22 03:31:01,2021-03-22 03:25:36,608838,312029168,608838,512,191,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/013697/SRR14026508,SRX10403162,BP-H112E-1,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525856,SAMN13999978,simple,1352,Enterococcus faecium,BP-H112E-1,,,,,,,no,,,,,NML,SRA1208655,,public,5A7CE85A3EAA9065FA02A449E81E2812,05DB4F49070D3FB1CD487E3EB2C2A2D7
SRR14026520,2021-03-22 03:29:21,2021-03-22 03:25:28,607317,312398168,607317,514,181,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/013697/SRR14026520,SRX10403150,BP-H134E-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525844,SAMN13999977,simple,1352,Enterococcus faecium,BP-H134E-2,,,,,,,no,,,,,NML,SRA1208655,,public,EBC8C0A84426891BCFE206D57B7CDF75,85F95EB2DD2FBFA8E20089F63A9095A7
SRR14026541,2021-03-22 03:29:21,2021-03-22 03:25:51,743192,354656651,743192,477,203,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/013697/SRR14026541,SRX10403129,BP-R1E-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525823,SAMN13999979,simple,1352,Enterococcus faecium,BP-R1E-3,,,,,,,no,,,,,NML,SRA1208655,,public,2C46924422B2BC55BA4BEA4E3F348E04,F528FA05236E0B0415A733BBF6708433
SRR14026543,2021-03-22 03:29:21,2021-03-22 03:25:58,901839,395419941,901839,438,220,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/013697/SRR14026543,SRX10403127,BP-R2-2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525821,SAMN13999975,simple,1352,Enterococcus faecium,BP-R2-2,,,,,,,no,,,,,NML,SRA1208655,,public,B3A646CF90E30DEA90488B479D55D70B,763233D9C3E1FFC5998F6DA01577D798
SRR14026528,2021-03-22 03:31:00,2021-03-22 03:25:46,563765,302148556,563765,535,184,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/013697/SRR14026528,SRX10403142,BP-W148E-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525836,SAMN13999976,simple,1352,Enterococcus faecium,BP-W148E-3,,,,,,,no,,,,,NML,SRA1208655,,public,ACFC238702977272DF68E61F9456B7B1,FEB1B467C42E05E46C4A066B3EA6980C
SRR14026532,2021-03-22 03:29:21,2021-03-22 03:25:17,569378,281990598,569378,495,176,,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/013697/SRR14026532,SRX10403138,ES-S-CB001-14SEP15-0121K,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525832,SAMN14000062,simple,1352,Enterococcus faecium,ES-S-CB001-14SEP15-0121K,,,,,,,no,,,,,NML,SRA1208655,,public,2BD79B65FD5CB3BBFDD3E62C66A30781,5EF093DDD3C7B3B8A3A2905309374BFB
SRR14026513,2021-03-22 03:29:21,2021-03-22 03:25:37,723805,343769149,723805,474,212,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/013697/SRR14026513,SRX10403157,ES-V-CB001-10NOV15-0139J,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525851,SAMN14000064,simple,1352,Enterococcus faecium,ES-V-CB001-10NOV15-0139J,,,,,,,no,,,,,NML,SRA1208655,,public,81AD0083C25C0E84071F338CD89094A4,EE8335921F5820B5F49B090BBE9D9119
SRR14026549,2021-03-22 03:29:21,2021-03-22 03:25:32,664237,318224169,664237,479,195,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/013697/SRR14026549,SRX10403121,ES-V-CB001-26MAY15-0093J,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525815,SAMN14000061,simple,1352,Enterococcus faecium,ES-V-CB001-26MAY15-0093J,,,,,,,no,,,,,NML,SRA1208655,,public,0232205613AA33AAAA5E3521F17E094D,C69E0653E8841D0EEA7AF9DF48FF73C7
SRR14026522,2021-03-22 03:29:21,2021-03-22 03:25:28,998252,488772389,998252,489,300,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/013697/SRR14026522,SRX10403148,ES-V-CB001-30MAR2015-0069I,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525842,SAMN14000060,simple,1352,Enterococcus faecium,ES-V-CB001-30MAR2015-0069I,,,,,,,no,,,,,NML,SRA1208655,,public,875A6D67112E474D5ADD7D0286D96FA7,31F2ED25E7A9927206A6987F13E1893B
SRR14026512,2021-03-22 03:29:21,2021-03-22 03:25:34,525933,270132476,525933,513,168,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/013697/SRR14026512,SRX10403158,ES-V-CB002-14JUL15-0104A,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525852,SAMN14000063,simple,1352,Enterococcus faecium,ES-V-CB002-14JUL15-0104A,,,,,,,no,,,,,NML,SRA1208655,,public,ECDCB385FD927FCBBDDCF11AF424F4A2,891FC88B32DD93B90434DFC260F00A30
SRR14026533,2021-03-22 03:31:00,2021-03-22 03:25:59,865796,400491635,865796,462,249,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/013697/SRR14026533,SRX10403137,ES-V-CB002-21SEP15-0127I,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525831,SAMN14000040,simple,1352,Enterococcus faecium,ES-V-CB002-21SEP15-0127I,,,,,,,no,,,,,NML,SRA1208655,,public,B9A3D7B0931444B6FF033FFD49C960CE,98455CF747A6A4F292B0DF3032052155
SRR14026525,2021-03-22 03:29:21,2021-03-22 03:25:12,494212,175566544,494212,355,113,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/013697/SRR14026525,SRX10403145,ES-V-CB002-30MAR2015-0070J,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525839,SAMN14000059,simple,1352,Enterococcus faecium,ES-V-CB002-30MAR2015-0070J,,,,,,,no,,,,,NML,SRA1208655,,public,484DCE2565CFA655F4F5FACCAA45A0CD,08077D93568DC33E9B6C3D63535DBF6A
SRR14026491,2021-03-22 03:16:12,2021-03-22 03:13:06,769758,415070348,769758,539,233,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/013697/SRR14026491,SRX10403063,Ent-0004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525757,SAMN14000290,simple,1352,Enterococcus faecium,Ent-0004,,,,,,,no,,,,,NML,SRA1208654,,public,35E1D960B44AF146BB9C192BAA33635C,8C19A75DA074E9288DBD6EECD7B47C13
SRR14026487,2021-03-22 03:16:12,2021-03-22 03:12:50,601700,326150788,601700,542,186,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/013697/SRR14026487,SRX10403067,Ent-0010,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525761,SAMN14000289,simple,1352,Enterococcus faecium,Ent-0010,,,,,,,no,,,,,NML,SRA1208654,,public,18A65AE707DDF0434C9E2F82E66801CF,658E55993A5395669B0A0D79993DF5B6
SRR14026440,2021-03-22 03:16:13,2021-03-22 03:12:51,562364,317590947,562364,564,185,,https://sra-download.ncbi.nlm.nih.gov/traces/sra80/SRR/013697/SRR14026440,SRX10403114,Ent-0086,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525808,SAMN14000271,simple,1352,Enterococcus faecium,Ent-0086,,,,,,,no,,,,,NML,SRA1208654,,public,66B5DFDACA02D07054D148BCEAB841EA,6709C471F35FB46F6B5AB390E6539155
SRR14026472,2021-03-22 03:16:12,2021-03-22 03:12:43,544873,291393116,544873,534,181,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/013697/SRR14026472,SRX10403082,Ent-0189,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525776,SAMN14000286,simple,1352,Enterococcus faecium,Ent-0189,,,,,,,no,,,,,NML,SRA1208654,,public,BEF67910AFC36022D895B9303AF7337E,8450C854194D04ADCC3B704A89FD9F6B
SRR14026450,2021-03-22 03:16:13,2021-03-22 03:13:15,880775,466331017,880775,529,260,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/013697/SRR14026450,SRX10403104,Ent-0336,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525798,SAMN14000273,simple,1352,Enterococcus faecium,Ent-0336,,,,,,,no,,,,,NML,SRA1208654,,public,208DC94556912D6B2229DE279880D337,3937B2205FBEFB52E66D0B20E606649D
SRR14026462,2021-03-22 03:20:11,2021-03-22 03:12:26,595862,263205514,595862,441,165,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/013697/SRR14026462,SRX10403092,EntR-0008,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525786,SAMN14000315,simple,1352,Enterococcus faecium,EntR-0008,,,,,,,no,,,,,NML,SRA1208654,,public,D57A3FCA4E65727EB2006F43EB2C5B3C,67D34D9C91F4FFE50E0B7B38642C2DBF
SRR14026455,2021-03-22 03:20:11,2021-03-22 03:12:42,492644,228359363,492644,463,144,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/013697/SRR14026455,SRX10403099,EntR-0041,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525793,SAMN14000316,simple,1352,Enterococcus faecium,EntR-0041,,,,,,,no,,,,,NML,SRA1208654,,public,61129718740D990ACE495D79B27BCC9D,40C1C982F4330A9E6F6BD3F2D4547464
SRR14026485,2021-03-22 03:20:11,2021-03-22 03:12:42,578250,269976131,578250,466,172,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/013697/SRR14026485,SRX10403069,EntR-0158,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525763,SAMN14000056,simple,1352,Enterococcus faecium,EntR-0158,,,,,,,no,,,,,NML,SRA1208654,,public,FBDD8B69FAC94C2A268B51CFBE140DD5,5C7BA3DADD09ACFEF9A8B078FE2272E7
SRR14026465,2021-03-22 03:20:11,2021-03-22 03:12:35,471953,229049208,471953,485,144,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/013697/SRR14026465,SRX10403089,EntR-0183,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525783,SAMN14000058,simple,1352,Enterococcus faecium,EntR-0183,,,,,,,no,,,,,NML,SRA1208654,,public,389E7CD9F474086C97A53639DBE799B2,8C0753B00A82D3DBA009A13EEC883836
